"Name","RunTime","Rating","Votes"
"A Hero for a Night (1927)","1h",6.5,15
"The Fourth Commandment (1927)","1h 10min",6.8,8
"The Iron Rider (1927)","1h 1min",6.7,11
"Johnny Get Your Hair Cut (1927)","1h 10min",7.7,7
"Kreutzerova sonáta (1927)","1h 14min",6.6,45
"The Lodger: A Story of the London Fog (1927)","1h 32min",7.3,10549
"Metropolis (1927)","PG",8.3,161749
"La proie du vent (1927)","1h 30min",6.7,64
"With Sitting Bull at the Spirit Lake Massacre (1927)","1h 15min",6.3,21
"Sorok pervyy (1927)","1h 6min",7,106
"West Point (1927)","1h 35min",6.4,1723
"Adam and Evil (1927)","1h 10min",3.8,11
"The Adventurous Soul (1927)","59min",NA,NA
"An Affair of the Follies (1927)","1h 10min",5.6,5
"Afraid to Love (1927)","1h 10min",NA,NA
"After Midnight (1927)","1h 10min",7.3,64
"Alias the Lone Wolf (1927)","1h 5min",5.8,8
"All Aboard (1927)","1h",5.8,5
"Almost Human (1927)","1h",7.5,339
"Altars of Desire (1927)","1h 10min",NA,NA
"Am Rande der Welt (1927)","1h 44min",6,58
"The American Beauty (1927)","1h 10min",7,47
"The American (1927)","1h",NA,NA
"The Angel of Broadway (1927)","1h 4min",NA,NA
"Ankles Preferred (1927)","1h",NA,NA
"Annie Laurie (1927)","1h 30min",5.9,355
"The Arcadians (1927)","1h 24min",NA,NA
"Arnljot (1927)","1h 29min",NA,NA
"The Auctioneer (1927)","1h",NA,NA
"Babe Comes Home (1927)","1h",7.3,13
"Baby ryazanskie (1927)","1h 7min",7,227
"Back to God's Country (1927)","1h",5.1,11
"Barbed Wire (1927)","1h 7min",7,187
"The Beauty Shoppers (1927)","1h",NA,NA
"Becky (1927)","1h 10min",NA,NA
"The Beloved Rogue (1927)","1h 39min",6.8,713
"Berlin - Die Sinfonie der Großstadt (1927)","1h 5min",7.6,4036
"Beware of Widows (1927)","1h",NA,NA
"Bigamie (1927)","1h 11min",3.8,13
"Blind Alleys (1927)","1h",NA,NA
"Blonde or Brunette (1927)","1h",7.3,7
"Blondes by Choice (1927)","1h 10min",NA,NA
"The Blood Ship (1927)","1h 10min",6.9,7
"Body and Soul (1927)","1h",NA,NA
"Brass Knuckles (1927)","1h 8min",NA,NA
"Breakfast at Sunrise (1927)","1h 2min",7.6,17
"Broadway Madness (1927)","1h 10min",NA,NA
"Broadway Nights (1927)","1h 12min",5.5,22
"The Brute (1927)","1h 10min",NA,NA
"The Bugle Call (1927)","1h",6.2,10
"Buttons (1927)","1h 10min",NA,NA
"Cabaret (1927)","1h 10min",NA,NA
"Café Elektric (1927)","1h 31min",6.3,115
"The Callahans and the Murphys (1927)","1h 10min",NA,NA
"The Cancelled Debt (1927)","1h",NA,NA
"Captain Salvation (1927)","1h 27min",6.9,265
"Casanova (1927)","2h 12min",6.7,176
"Casey at the Bat (1927)","1h 8min",7.1,14
"The Cat and the Canary (1927)","1h 48min",7.1,2745
"Chain Lightning (1927)","1h",5.3,13
"Chang: A Drama of the Wilderness (1927)","1h 9min",6.9,895
"Cheating Cheaters (1927)","1h",NA,NA
"Chelovek iz restorana (1927)","1h 2min",6.9,100
"Chicago (1927)","1h 58min",7.1,384
"Children of Divorce (1927)","1h 10min",6.5,225
"The Chinese Parrot (1927)","1h 10min",6.7,10
"The City Gone Wild (1927)","1h",7,6
"Clancy's Kosher Wedding (1927)","1h",NA,NA
"The Climbers (1927)","1h 10min",NA,NA
"Closed Gates (1927)","1h",5.8,5
"College (1927)","1h 6min",7.1,4460
"The College Widow (1927)","1h 7min",6.4,5
"Come to My House (1927)","1h",NA,NA
"Compassion (1927)","1h",NA,NA
"Convoy (1927)","1h 20min",6.3,6
"The Country Doctor (1927)","1h 20min",7.4,9
"The Cradle Snatchers (1927)","59min",6.3,50
"Cross Breed (1927)","1h",NA,NA
"The Cruise of the Hellion (1927)","1h 10min",NA,NA
"The Crystal Cup (1927)","1h 10min",NA,NA
"Da hält die Welt den Atem an (1927)","1h 25min",NA,NA
"Dance Magic (1927)","1h 10min",NA,NA
"Daring Deeds (1927)","1h",4.9,10
"Dearie (1927)","1h",NA,NA
"Death Valley (1927)","1h",7,6
"The Demi-Bride (1927)","1h 10min",NA,NA
"The Denver Dude (1927)","1h",NA,NA
"The Desert of the Lost (1927)","58min",6.4,18
"The Desired Woman (1927)","1h 10min",4.9,13
"The Devil Dancer (1927)","1h 13min",5.5,33
"The Devil's Saddle (1927)","1h",NA,NA
"Devushka s korobkoy (1927)","1h",7.2,629
"Dirnentragödie (1927)","1h 25min",6.6,80
"Don Mike (1927)","1h",NA,NA
"Don't Tell the Wife (1927)","1h 10min",NA,NA
"The Dove (1927)","1h 30min",6.7,54
"Down the Stretch (1927)","1h 10min",NA,NA
"Downhill (1927)","1h 20min",6.1,2253
"Dress Parade (1927)","1h 12min",7.3,86
"The Drop Kick (1927)","1h 2min",4.8,212
"Drums of the Desert (1927)","1h",NA,NA
"Dva dnya (1927)","1h",7.1,50
"East Side West Side (1927)","1h 32min",7.1,75
"Easy Pickings (1927)","1h",NA,NA
"Easy Virtue (1927)","1h 20min",5.7,2553
"The Enemy (1927)","1h 30min",7.6,74
"Evening Clothes (1927)","1h 10min",NA,NA
"The Eyes of the Totem (1927)","1h 21min",6.8,12
"The Fair Co-Ed (1927)","1h 11min",5.6,709
"Fangs of Destiny (1927)","58min",3.3,11
"Fashions for Women (1927)","1h 10min",3.4,26
"Fast and Furious (1927)","1h",5.4,29
"Feme (1927)","1h 10min",NA,NA
"Fighting Love (1927)","1h 10min",NA,NA
"Figures Don't Lie (1927)","1h",NA,NA
"The Final Extra (1927)","1h",6.9,14
"Finger Prints (1927)","1h 10min",6.1,11
"Finnegan's Ball (1927)","1h 10min",NA,NA
"Fireman Save My Child (1927)","1h",NA,NA
"The First Auto (1927)","1h 15min",6.4,194
"Fjeldeventyret (1927)","1h 48min",6.5,6
"The Flight Commander (1927)","1h 15min",5.5,11
"Flying Luck (1927)","1h 11min",6.4,17
"For the Love of Mike (1927)","1h 15min",4.9,50
"For the Term of His Natural Life (1927)","1h 41min",6,92
"The Forbidden Woman (1927)","1h 10min",NA,NA
"The Fortune Hunter (1927)","1h 20min",NA,NA
"Framed (1927)","1h",NA,NA
"Das Frauenhaus von Rio (1927)","1h",6.6,5
"French Dressing (1927)","1h 10min",NA,NA
"Frisco Sally Levy (1927)","1h 10min",NA,NA
"Funkzauber (1927)","1h",NA,NA
"Galloping Fury (1927)","1h",3.1,10
"The Garden of Allah (1927)","1h 36min",6.6,16
"The Gaucho (1927)","1h 55min",7,293
"The Gay Defender (1927)","1h 10min",6.5,8
"The Gay Old Bird (1927)","1h 10min",6.4,5
"The Gay Retreat (1927)","1h",5,10
"A Gentleman of Paris (1927)","1h 5min",6.9,27
"Get Your Man (1927)","1h 3min",6.6,173
"Getting Gertie's Garter (1927)","1h 14min",6.9,51
"Der Geisterzug (1927)","1h 11min",7.1,48
"The Gingham Girl (1927)","1h 10min",NA,NA
"Ginsberg the Great (1927)","1h",NA,NA
"The Girl from Chicago (1927)","1h 10min",NA,NA
"The Girl in the Pullman (1927)","1h",7,30
"Giuli (1927)","1h 10min",5.2,13
"Den glade enke i Trangvik (1927)","1h 39min",NA,NA
"Good Time Charley (1927)","1h 10min",6,23
